strain,StrRt0.0001,ref_StrRt0.0001
0.0,568.7754321000424,1.0
0.00011,587.7623492362436,1.0
0.0002,602.3167357527577,1.0
0.0003,617.5413455494365,1.0
0.0004,631.8490778373717,1.0
0.0005,645.3141950555099,1.0
0.0006,658.0034231201187,1.0
0.0007,669.976878101916,1.0
0.0008,681.2888592522862,1.0
0.0009,691.9885303903659,1.0
0.001,702.120507607104,1.0
0.002,779.6288098222886,1.0
0.003,829.1574569809725,1.0
0.004,863.1751894582347,1.0
0.005,887.9798592409072,1.0
0.01,955.583674931048,1.0
0.011,964.2247499077862,1.0
0.012,972.096156893465,1.0
0.013,979.3459981447728,1.0
0.014,986.0782284369936,1.0
0.015,992.3675774848688,1.0
0.016,998.269199017812,1.0
0.017,1003.8249869824698,1.0
0.018,1009.0677503274252,1.0
0.019,1014.0239934365524,1.0
0.02,1018.7157789566965,1.0
0.021,1023.1619817582242,1.0
0.022,1027.37913640352,1.0
0.023,1031.3820120883329,1.0
0.024,1035.184004425678,1.0
0.025,1038.7974040401386,1.0
0.026,1042.2335823725211,1.0
0.027,1045.5031219722655,1.0
0.028,1048.6159097024324,1.0
0.029,1051.581205284288,1.0
0.03,1054.4076935338926,1.0
0.031,1057.1035258720203,1.0
0.032,1059.6763548054607,1.0
0.033,1062.133363801128,1.0
0.034,1064.4812941131072,1.0
0.035,1066.7264695459678,1.0
0.036,1068.8748197555406,1.0
0.037,1070.9319024389536,1.0
0.038,1072.9029246064636,1.0
0.039,1074.7927630290203,1.0
0.04,1076.6059838973194,1.0
0.041,1078.346861696388,1.0
0.042,1080.019397285047,1.0
0.043,1081.6273351653565,1.0
0.044,1083.1741799291665,1.0
0.045,1084.6632118741677,1.0
0.046,1086.097501788642,1.0
0.047,1087.4799249111566,1.0
0.048,1088.813174078174,1.0
0.049,1090.0997720784153,1.0
0.05,1091.342083237823,1.0
0.051,1092.5423242628922,1.0
0.052,1093.7025743731572,1.0
0.053,1094.8247847557277,1.0
0.054,1095.9107873760831,1.0
0.055,1096.962303180001,1.0
0.056,1097.980949721574,1.0
0.057,1098.9682482519047,1.0
0.058,1099.925630302332,1.0
0.059,1100.8544437950225,1.0
0.06,1101.7559587125272,1.0
0.061,1102.6313723565331,1.0
0.062,1103.4818142245504,1.0
0.063,1104.3083505317388,1.0
0.064,1105.1119884035325,1.0
0.065,1105.8936797631409,1.0
0.066,1106.654324936499,1.0
0.067,1107.3947759957236,1.0
0.068,1108.115839860718,1.0
0.069,1108.818281177177,1.0
0.07,1109.502824987929,1.0
0.071,1110.170159213343,1.0
0.072,1110.8209369553094,1.0
0.073,1111.4557786382666,1.0
0.074,1112.0752739996703,1.0
0.075,1112.6799839413793,1.0
0.076,1113.2704422525233,1.0
0.077,1113.8471572136082,1.0
0.078,1114.4106130908358,1.0
0.079,1114.9612715289147,1.0
