strain,StrRt0.0001,ref_StrRt0.0001
0.0,568.7754321000424,2.056682274835519
0.00011,587.7623492362436,1.2645713693840388
0.0002,602.3167357527577,1.0402834163408217
0.0003,617.5413455494365,0.9823899516911853
0.0004,631.8490778373717,0.9673514060034932
0.0005,645.3141950555099,0.9636755636252364
0.0006,658.0034231201187,0.963586202152601
0.0007,669.976878101916,0.9648650062937238
0.0008,681.2888592522862,0.9667784409345449
0.0009,691.9885303903659,0.9690285823067405
0.001,702.120507607104,0.9714638184096653
0.002,779.6288098222886,0.9951271625687613
0.003,829.1574569809725,1.0107250254435096
0.004,863.1751894582347,1.0198276130367503
0.005,887.9798592409072,1.025062262261182
0.01,955.583674931048,1.03294433922434
0.011,964.2247499077862,1.0337119100250607
0.012,972.096156893465,1.0344900475233523
0.013,979.3459981447728,1.0352960539969829
0.014,986.0782284369936,1.0361318993518267
0.015,992.3675774848688,1.036991602849668
0.016,998.269199017812,1.0378655946514663
0.017,1003.8249869824698,1.0387432423903888
0.018,1009.0677503274252,1.0396142595572093
0.019,1014.0239934365524,1.0404694344969747
0.02,1018.7157789566965,1.041300951012697
0.021,1023.1619817582242,1.0421024687770397
0.022,1027.37913640352,1.0428690680152828
0.023,1031.3820120883329,1.0435971230329535
0.024,1035.184004425678,1.044284144038708
0.025,1038.7974040401386,1.0449286108430058
0.026,1042.2335823725211,1.045529811996166
0.027,1045.5031219722655,1.0460876966415402
0.028,1048.6159097024324,1.0466027424583981
0.029,1051.581205284288,1.047075840698242
0.03,1054.4076935338926,1.0475081979270107
0.031,1057.1035258720203,1.0479012533178511
0.032,1059.6763548054607,1.048256609963978
0.033,1062.133363801128,1.0485759785484776
0.034,1064.4812941131072,1.048861131720567
0.035,1066.7264695459678,1.04911386762306
0.036,1068.8748197555406,1.049335981153666
0.037,1070.9319024389536,1.0495292416980404
0.038,1072.9029246064636,1.0496953762299928
0.039,1074.7927630290203,1.0498360568248069
0.04,1076.6059838973194,1.049952891770506
0.041,1078.346861696388,1.050047419586748
0.042,1080.019397285047,1.050121105371338
0.043,1081.6273351653565,1.050175338990398
0.044,1083.1741799291665,1.0502114347110252
0.045,1084.6632118741677,1.0502306319459658
0.046,1086.097501788642,1.050234096839765
0.047,1087.4799249111566,1.0502229244763364
0.048,1088.813174078174,1.0501981415301798
0.049,1090.0997720784153,1.0501607092186709
0.05,1091.342083237823,1.050111526442064
0.051,1092.5423242628922,1.050051433021908
0.052,1093.7025743731572,1.0499812129683568
0.053,1094.8247847557277,1.0499015977229946
0.054,1095.9107873760831,1.0498132693369286
0.055,1096.962303180001,1.0497168635545011
0.056,1097.980949721574,1.0496129727814925
0.057,1098.9682482519047,1.049502148923491
0.058,1099.925630302332,1.049384906085467
0.059,1100.8544437950225,1.0492617231278287
0.06,1101.7559587125272,1.0491330460774777
0.061,1102.6313723565331,1.0489992903949088
0.062,1103.4818142245504,1.048860843100258
0.063,1104.3083505317388,1.0487180647625698
0.064,1105.1119884035325,1.0485712913575664
0.065,1105.8936797631409,1.048420835999801
0.066,1106.654324936499,1.048266990555542
0.067,1107.3947759957236,1.0481100271428916
0.068,1108.115839860718,1.0479501995257468
0.069,1108.818281177177,1.0477877444081198
0.07,1109.502824987929,1.047622882635205
0.071,1110.170159213343,1.0474558203073958
0.072,1110.8209369553094,1.0472867498131544
0.073,1111.4557786382666,1.0471158507864267
0.074,1112.0752739996703,1.0469432909939425
0.075,1112.6799839413793,1.046769227157474
0.076,1113.2704422525233,1.0465938057157969
0.077,1113.8471572136082,1.0464171635308173
0.078,1114.4106130908358,1.0462394285420198
0.079,1114.9612715289147,1.0460607203731045
