strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,StrRt1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1,ref_StrRt1
0.0,276.5499752,377.306,277.306,377.306,832.5548238472203,1.0,1.364332069555,1.0027337727998464,1.364332069555,3.0105040625844186
0.00011,464.79175748106434,451.27575832901823,344.4019196755693,470.9662536371053,835.7463835250355,1.0,0.970920312302232,0.7409811257025147,1.0132844355706814,1.7981093039479814
0.0002,578.9929227857886,532.6380048656391,500.1586589649602,600.6512941195246,838.287220291482,1.0,0.9199387141087743,0.8638424396596729,1.0374069707614526,1.4478367304700634
0.0003,628.6112194921564,584.6394731072651,601.036303499984,663.8275387008804,841.0401582769183,1.0,0.930049377069001,0.9561335923745529,1.0560224159492009,1.3379337374162354
0.0004,653.1743003794115,619.7916684140366,659.4723216227883,697.3208385329432,843.7230497467243,1.0,0.9488916940761695,1.009642175510761,1.0675876839120708,1.2917272606356804
0.0005,669.6384337358439,646.0491274804259,694.6642593256984,719.5317053573287,846.3395775457648,1.0,0.964773069962822,1.0373721464137564,1.0745077777915695,1.2638754511507402
0.0006,682.8692873042116,666.860133597009,717.0497749718052,736.5247070420343,848.8931363594276,1.0,0.9765560495912732,1.0500542172610063,1.0785734850510558,1.2431268357530538
0.0007,694.373693451125,684.0171512293238,732.3105038005751,750.5445357668789,851.3868622671513,1.0,0.9850850596451489,1.054634573151669,1.0808942545570495,1.2261220007279525
0.0008,704.7000950845701,698.5651556863156,743.545089778311,762.5737524375535,853.8236585831871,1.0,0.9912942549021251,1.055122732300865,1.0821252299476958,1.211612804565779
0.0009,714.1053865956255,711.1638757716596,752.4486793577182,773.1309940226985,856.2062185323866,1.0,0.9958808449296411,1.0536941654296823,1.0826567178108926,1.198991401835242
0.001,722.7448869444363,722.2550514797215,759.9532318465949,782.5365081512831,858.5370452165702,1.0,0.9993222567553737,1.0514819898062027,1.0827285288168957,1.1878839417961504
0.002,783.4464168476738,791.5037339640205,810.4818474454971,843.0588058506496,879.4448174050707,1.0,1.010284452060891,1.0345083339669927,1.0760899376409634,1.122533460480504
0.003,820.3590849223658,829.6209708060078,844.3162254203846,876.8885804248899,897.0101305762823,1.0,1.0112900387816373,1.0292032366537223,1.0689082336521862,1.093435968544397
0.004,846.3932319776574,855.9241670425223,869.6398878517687,900.0238417585072,912.1975710506948,1.0,1.011260646594013,1.027465550285408,1.063363703482763,1.0777467689802775
0.005,866.2691935240255,876.012118640399,889.6042409742192,917.441677222143,925.6018072702076,1.0,1.011246994801626,1.026937408861633,1.0590722653889437,1.068492120220522
0.01,925.1066477101914,936.947169711966,950.5459439091948,968.5210623046,976.2828764379698,1.0,1.0127990886575964,1.0274987713708148,1.046929091582973,1.0553192746527646
0.011,932.778988571787,945.1057853304566,958.567485561224,975.1859369455436,984.288489151153,1.0,1.0132151312472675,1.0276469531425905,1.0454630184570168,1.0552215489525918
0.012,939.6863306908916,952.4830715861297,965.7827009301247,981.1955097172704,991.8062036344212,1.0,1.0136180983773908,1.027771363046269,1.0441734413608632,1.0554651815624572
0.013,945.9574334933444,959.1996127832124,972.323194873701,986.6609136535916,998.895183786526,1.0,1.013998705249311,1.0278720378389437,1.0430288707705722,1.055962084993282
0.014,951.6917962412458,965.3494742013168,978.2919128007552,991.6676687911638,1005.6042789105438,1.0,1.01435094640304,1.0279503476488585,1.042005061625838,1.0566490988807806
0.015,956.967804520141,971.0076573096449,983.7707545590044,996.282932608372,1011.9743073804748,1.0,1.0146711861393747,1.0280082045730925,1.0410830206643629,1.0574799931622736
0.016,961.8482433200307,976.2350824706992,988.8258428083828,1000.560365198102,1018.0397387574542,1.0,1.0149574938152501,1.0280476672652985,1.0402476400481304,1.0584203337976332
