strain,StrRt0.0001,ref_StrRt0.0001
0.0,1067.4538450093387,1.0
0.00011,1083.997263440276,1.0
0.0002,1094.1693741576644,1.0
0.0003,1103.7197879056785,1.0
0.0004,1112.096404039244,1.0
0.0005,1119.6499347254564,1.0
0.0006,1126.5822414871318,1.0
0.0007,1133.0216898851154,1.0
0.0008,1139.0557897527565,1.0
0.0009,1144.747359990457,1.0
0.001,1150.143336047641,1.0
0.002,1193.253688547015,1.0
0.003,1224.4033452968447,1.0
0.004,1248.4788707510932,1.0
0.005,1267.7577008811122,1.0
0.01,1326.855454124062,1.0
0.011,1334.6762940634028,1.0
0.012,1341.770793573039,1.0
0.013,1348.2775775836851,1.0
0.014,1354.3027599056377,1.0
0.015,1359.928268383263,1.0
0.016,1365.2179044294069,1.0
0.017,1370.221793684021,1.0
0.018,1374.9796787632345,1.0
0.019,1379.5233702328878,1.0
0.02,1383.8785808310618,1.0
0.021,1388.0663049615127,1.0
0.022,1392.103861149856,1.0
0.023,1396.0056835487394,1.0
0.024,1399.7839258150243,1.0
0.025,1403.4489241568426,1.0
0.026,1407.0095542758677,1.0
0.027,1410.4735080650269,1.0
0.028,1413.8475093840568,1.0
0.029,1417.1374833960374,1.0
0.03,1420.3486903544376,1.0
0.031,1423.4858320537169,1.0
0.032,1426.5531371576708,1.0
0.033,1429.554430122918,1.0
0.034,1432.4931873112362,1.0
0.035,1435.3725830385983,1.0
0.036,1438.195527670381,1.0
0.037,1440.9646993890367,1.0
0.038,1443.6825708937597,1.0
0.039,1446.3514320123732,1.0
0.04,1448.9734089923177,1.0
0.041,1451.5504810739776,1.0
0.042,1454.084494823673,1.0
0.043,1456.577176606301,1.0
0.044,1459.0301435020413,1.0
0.045,1461.4449129126144,1.0
0.046,1463.822911056367,1.0
0.047,1466.1654805150476,1.0
0.048,1468.473886966288,1.0
0.049,1470.7493252127913,1.0
0.05,1472.9929246008037,1.0
0.051,1475.2057539055447,1.0
0.052,1477.3888257492113,1.0
0.053,1479.543100607283,1.0
0.054,1481.6694904507576,1.0
0.055,1483.7688620652184,1.0
0.056,1485.8420400820582,1.0
0.057,1487.8898097524957,1.0
0.058,1489.9129194910915,1.0
0.059,1491.9120832121198,1.0
0.06,1493.8879824793216,1.0
0.061,1495.8412684871273,1.0
0.062,1497.7725638893464,1.0
0.063,1499.6824644895296,1.0
0.064,1501.5715408056149,1.0
0.065,1503.4403395201427,1.0
0.066,1505.2893848261049,1.0
0.067,1507.1191796774635,1.0
0.068,1508.9302069524592,1.0
0.069,1510.7229305370015,1.0
0.07,1512.4977963347442,1.0
0.071,1514.2552332097914,1.0
0.072,1515.995653867421,1.0
0.073,1517.7194556777222,1.0
0.074,1519.4270214465705,1.0
0.075,1521.118720137988,1.0
0.076,1522.7949075515537,1.0
0.077,1524.4559269582232,1.0
0.078,1526.1021096976149,1.0
0.079,1527.7337757395626,1.0
