PEEQ,m0,m1,R_squared
0.0,-1.4797414749067386,4.051090090145532,-8.825104187729126
0.00011,-1.7179452503727504,4.106347519977115,-7.372604893837304
0.0002,-3.9190789127068175,4.7568898978488265,-3.815194374469881
0.0003,-2.708540975374035,4.310831458375464,-3.5580596971107488
0.0004,-2.602826998666209,4.468505856097882,-4.28422154980813
0.0005,-2.5646100215206684,4.413318505657197,-5.158685128774961
0.0006,-2.494713930378213,4.370391447303955,-5.86969314506542
0.0007,-2.4073542003725668,4.333109261749563,-6.364872802722179
0.0008,-2.303502504461442,4.578998978341832,-6.6878347327300425
0.0009,-2.446369800037756,4.543723953897195,-6.893022228852164
0.001,-2.689009873047602,4.419798452417601,-7.020395339958824
0.002,-3.7486264283569093,5.250169521724976,-6.474044205382875
0.003,-1.8146486887971247,4.616657129440231,-4.804886153154976
0.004,-1.5113493438285484,4.530885177728943,-3.7863818045284674
0.005,-1.3655057822287935,4.4985338743276975,-3.5560365389783604
0.01,-3.3460825305133097,4.939271614711336,-18.162681485312064
0.011,-3.4331737787493903,4.858124472395707,-33.50175686807118
0.012,-3.519443624995778,4.782496970212897,-67.59217901912783
0.013,-3.603679413754177,4.7137635274070675,-129.87452179749445
0.014,-3.685455591172233,4.652531391466744,-151.69387872871428
0.015,-3.7647677834980837,4.598853171857103,-101.37126029205835
0.016,-3.841818033668512,4.552393684088387,-61.48506721390341
0.017,-3.8966479911513945,5.069803312907068,-40.26812826925209
0.018,-3.9740538469211217,5.036203447030877,-28.694751983095628
0.019,-4.03595565104571,5.007502678968618,-21.849293394683922
0.02,-4.109999316539127,4.984125936123155,-17.48824719009944
0.021,-4.172728935440294,4.964556441349442,-14.538034079373396
0.022,-4.253396635543026,4.949583307099422,-12.444848035288219
0.023,-4.314880809714141,4.937235426443665,-10.902153052190501
0.024,-4.383435775069564,4.9281810449642744,-9.729685347172468
0.025,-4.450691044796787,4.921786203245932,-8.81588082057389
0.026,-4.516799378919789,4.917794723163711,-8.088651387875151
0.027,-4.581860896536377,4.9159869705312484,-7.499679862389993
0.028,-4.639972958107724,4.915951470037108,-7.01555045801603
0.029,-4.703178189332955,4.917985184872791,-6.612519184541248
0.03,-4.771466976845535,4.921936794449663,-6.273312409765035
0.031,-4.832737262275179,4.9272561330466935,-5.985101463879027
0.032,-3.777303953048845,6.712948867885731,-5.738183558233602
0.033,-3.8238836002075702,6.7065383705323045,-5.525100324237825
0.034,-3.840793140243625,6.68867161838834,-5.340035102316846
0.035,-3.85716115460034,6.673053843886615,-5.178392273034697
0.036,-3.8730244193267533,6.659423950767383,-5.036498138784689
0.037,-3.8884083978489654,6.647558147859021,-4.911384633907311
0.038,-3.9033403658941443,6.637264695204169,-4.800630518366202
0.039,-3.917843096634817,6.628378450855058,-4.702243139148981
0.04,-3.9319357726022166,6.62075648185774,-4.6145692633462545
0.041,-3.945641802296875,6.614274796935545,-4.536227039831802
0.042,-3.958974446663083,6.6088249339695695,-4.466053517128299
0.043,-3.971958969361857,6.604312544691828,-4.403063752835859
0.044,-3.984605332243889,6.600654278925825,-4.346418656912732
0.045,-3.9969350793378258,6.597777201941312,-4.2953994839462695
0.046,-4.008953330976329,6.595616201747456,-4.249387436146168
0.047,-4.020679325867271,6.594114321130763,-4.207847230124659
0.048,-4.03212780450183,6.593221256502561,-4.170313763860684
0.049,-4.043310098530113,6.592890748252458,-4.136381227569587
0.05,-4.054233703024132,6.59308293726622,-4.105694155429716
0.051,-4.064911889981837,6.593760894035269,-4.0779400294211525
0.052,-4.07535517966706,6.5948926155216085,-4.0528431325531
0.053,-4.085572662736484,6.596448853456442,-4.030159414032064
0.054,-4.095574390153104,6.598403491959431,-4.00967217885091
0.055,-4.105373440664542,6.6007329204899925,-3.9911884527441757
0.056,-4.114965682510911,6.603415248506872,-3.9745359033038064
0.057,-4.124372036357083,6.606429631541019,-3.959560221363982
0.058,-4.133592080310611,6.609763030420253,-3.9461228850956056
0.059,-4.142639110416956,6.613396488850139,-3.9340992437440647
0.06,-4.151515785455176,6.617315568151068,-3.9233768694725555
0.061,-4.16022504201844,6.62150685160591,-3.9138541349977
0.062,-4.168774364611226,6.625958528966684,-3.9054389821151885
0.063,-4.177175795302692,6.63065989102805,-3.8980478522038693
0.064,-4.185424627369772,6.635600594348479,-3.8916047546604196
0.065,-4.193537283438168,6.640771962913172,-3.886040453180658
0.066,-4.201504931287523,6.64616505404334,-3.8812917530540876
0.067,-4.209341534969322,6.651772637354695,-3.877300875307821
0.068,-4.217050028485487,6.657587672993552,-3.8740149057467477
0.069,-4.2246327096311935,6.663603642457223,-3.871385308760199
0.07,-4.297210063363473,4.995835673754643,-3.8693674974712575
0.071,-4.303601542504558,5.0022042629224375,-3.8679204518084846
0.072,-4.309810038690208,5.008753672380916,-3.8670063809688617
0.073,-4.315828157074995,5.015478456138048,-3.866590421218775
0.074,-4.322205380372381,5.022398840863083,-3.8666403671944565
0.075,-4.327871409292758,5.029463159848009,-3.867126431599151
0.076,-4.333325032069644,5.036688760412092,-3.868021030046733
0.077,-4.3533326674092105,5.044635939651726,-3.8692985880712394
0.078,-4.3443222516724775,5.05164654241014,-3.8709353677182197
0.079,-4.349130967796553,5.05933403772883,-3.872909311465098
